assessment,visit,n_observations,mean,sd,median,q1,q3,minimum,maximum,n_subjects
BI,T0,119,14.915966386554622,8.635343055940266,15.0,10.0,25.0,0.0,40.0,119
BI,T1,88,48.29545454545455,30.960545560442068,45.0,20.0,71.25,0.0,100.0,88
BI,T2,58,70.63793103448276,33.396973429350965,85.0,45.0,100.0,0.0,100.0,58
FM-LE,T0,119,60.42857142857143,14.018493492750764,61.0,50.5,70.0,26.0,86.0,119
FM-LE,T1,87,66.16091954022988,15.678361301427586,68.0,56.0,79.0,26.0,86.0,87
FM-LE,T2,44,77.0909090909091,12.230001581734067,81.0,77.25,86.0,35.0,86.0,44
FM-UE,T0,120,75.04166666666667,21.638510578503833,64.5,60.0,93.0,2.0,123.0,120
FM-UE,T1,88,84.36363636363636,24.242634534093135,86.0,64.0,103.5,30.0,126.0,88
FM-UE,T2,44,99.5,24.124194166563296,99.5,85.0,120.0,40.0,126.0,44
MRS,T0,120,4.625,0.5195748100064873,5.0,4.0,5.0,3.0,6.0,120
MRS,T1,88,3.625,1.1070567793223969,4.0,3.0,5.0,1.0,5.0,88
MRS,T2,65,2.753846153846154,1.287327284905256,3.0,2.0,4.0,0.0,5.0,65
NIHSS,T0,120,9.525,4.140317245182585,9.0,7.0,12.0,0.0,24.0,120
NIHSS,T1,88,6.840909090909091,4.06523348677359,6.0,4.0,9.25,0.0,19.0,88
NIHSS,T2,48,3.3541666666666665,3.9436972788172215,2.0,0.75,5.0,0.0,18.0,48
